0,1,2,3,4,5,6
19.0,15.0,88.0,1848.38,143.0,0.0,0.0
19.0,15.0,89.0,1839.75,153.0,0.0,0.0
19.0,15.0,90.0,1849.69,118.0,0.0,0.0
19.0,15.0,91.0,1850.06,167.0,0.0,0.0
19.0,15.0,95.0,1868.06,99.0,0.0,0.0
19.0,17.0,97.0,1881.0,224.0,0.0,0.0
19.0,17.0,99.0,1870.12,226.0,0.0,0.0
19.0,17.0,102.0,1842.19,180.0,0.0,0.0
19.0,17.0,103.0,1834.12,194.0,0.0,0.0
19.0,19.0,111.0,1823.06,251.0,0.0,0.0
19.0,23.0,127.0,1880.44,201.0,0.0,0.0
19.0,27.0,135.0,284.625,146.0,0.0,0.0
19.0,13.0,80.0,1869.56,98.0,0.0,0.0
19.0,17.0,104.0,1833.38,218.0,0.0,0.0
19.0,17.0,106.0,1834.88,191.0,0.0,0.0
19.0,17.0,107.0,1842.19,122.0,0.0,0.0
19.0,17.0,108.0,1849.12,189.0,0.0,0.0
19.0,17.0,109.0,1855.69,191.0,0.0,0.0
19.0,19.0,113.0,1807.69,255.0,0.0,0.0
19.0,19.0,114.0,1805.44,255.0,0.0,0.0
19.0,19.0,115.0,1810.12,145.0,0.0,0.0
19.0,19.0,119.0,1844.81,170.0,0.0,0.0
19.0,21.0,130.0,1829.06,235.0,0.0,0.0
19.0,21.0,131.0,1824.0,243.0,0.0,0.0
19.0,21.0,132.0,1816.31,197.0,0.0,0.0
19.0,21.0,135.0,1813.69,176.0,0.0,0.0
19.0,21.0,136.0,1820.81,224.0,0.0,0.0
19.0,21.0,137.0,1834.31,225.0,0.0,0.0
19.0,21.0,138.0,1841.44,254.0,0.0,0.0
19.0,21.0,139.0,1863.75,203.0,0.0,0.0
19.0,21.0,144.0,1914.75,225.0,0.0,0.0
19.0,23.0,128.0,1866.94,229.0,0.0,0.0
19.0,23.0,129.0,1854.75,228.0,0.0,0.0
19.0,23.0,130.0,1846.88,198.0,0.0,0.0
19.0,23.0,131.0,1841.81,210.0,0.0,0.0
19.0,23.0,132.0,1832.62,225.0,0.0,0.0
19.0,23.0,133.0,1827.94,225.0,0.0,0.0
19.0,23.0,134.0,1828.12,165.0,0.0,0.0
19.0,23.0,135.0,1831.5,135.0,0.0,0.0
19.0,23.0,136.0,1833.38,188.0,0.0,0.0
19.0,23.0,137.0,1843.12,222.0,0.0,0.0
19.0,23.0,140.0,1881.38,183.0,0.0,0.0
19.0,23.0,141.0,1885.31,187.0,0.0,0.0
19.0,27.0,150.0,153.375,138.0,0.0,0.0
19.0,0.0,3.0,805.688,80.0,0.0,0.0
19.0,0.0,4.0,861.938,104.0,0.0,0.0
19.0,0.0,6.0,169.5,87.0,0.0,0.0
19.0,2.0,2.0,168.562,80.0,0.0,0.0
19.0,0.0,11.0,153.375,235.0,0.0,0.0
19.0,2.0,14.0,390.75,642.0,0.0,0.0
19.0,8.0,21.0,1625.06,271.0,0.0,0.0
19.0,0.0,20.0,123.188,1436.0,0.0,0.0
19.0,0.0,21.0,158.25,1192.0,0.0,0.0
19.0,0.0,22.0,115.5,266.0,0.0,0.0
19.0,8.0,33.0,220.312,762.0,0.0,0.0
19.0,8.0,34.0,560.062,744.0,0.0,0.0
19.0,8.0,37.0,206.25,2454.0,0.0,0.0
19.0,2.0,26.0,190.688,89.0,0.0,0.0
19.0,2.0,28.0,241.125,328.0,0.0,0.0
19.0,2.0,29.0,190.5,973.0,0.0,0.0
19.0,2.0,30.0,164.25,953.0,0.0,0.0
19.0,2.0,31.0,196.5,300.0,0.0,0.0
19.0,6.0,39.0,404.25,351.0,0.0,0.0
19.0,0.0,24.0,194.625,433.0,0.0,0.0
19.0,0.0,25.0,141.938,357.0,0.0,0.0
19.0,0.0,26.0,197.438,364.0,0.0,0.0
19.0,0.0,31.0,1050.75,647.0,0.0,0.0
19.0,2.0,32.0,1038.56,804.0,0.0,0.0
19.0,2.0,33.0,1061.44,942.0,0.0,0.0
19.0,2.0,34.0,1036.69,737.0,0.0,0.0
19.0,2.0,36.0,1378.5,157.0,0.0,0.0
19.0,2.0,37.0,1330.88,409.0,0.0,0.0
19.0,2.0,38.0,1343.44,786.0,0.0,0.0
19.0,4.0,35.0,327.0,372.0,0.0,0.0
19.0,4.0,36.0,385.312,243.0,0.0,0.0
19.0,6.0,40.0,139.875,13858.0,0.0,0.0
19.0,6.0,41.0,137.062,11317.0,0.0,0.0
19.0,6.0,42.0,143.812,10940.0,0.0,0.0
19.0,6.0,43.0,136.688,11039.0,0.0,0.0
19.0,6.0,44.0,141.188,13297.0,0.0,0.0
19.0,6.0,45.0,160.875,745.0,0.0,0.0
19.0,6.0,46.0,159.562,450.0,0.0,0.0
19.0,6.0,47.0,211.688,337.0,0.0,0.0
19.0,20.0,133.0,1783.69,9920.0,0.0,0.0
19.0,0.0,32.0,1035.38,1273.0,0.0,0.0
19.0,0.0,33.0,1034.06,1627.0,0.0,0.0
19.0,0.0,34.0,1037.81,1666.0,0.0,0.0
37.0,6.0,32.0,1888.5,1888.0,0.0,0.0
37.0,6.0,33.0,1896.0,2760.0,0.0,0.0
37.0,6.0,34.0,1894.88,4476.0,0.0,0.0
37.0,6.0,35.0,1893.75,2190.0,0.0,0.0
